Designator,Mid X,Mid Y,Rotation,Layer
C1,167.9794,-78.579,281.0,top
C1_2,167.2083,-158.5098,259.0,top
C2,163.3808,-80.8634,281.0,top
C2_2,162.0888,-158.9052,259.0,top
C3,161.9011,-81.1482,281.0,top
C3_2,160.6031,-158.6157,259.0,top
C4,30.7604,-43.7744,11.0,top
C4_2,130.416,-141.4911,169.0,top
C5,130.3688,-91.3523,11.0,top
C5_2,32.1733,-184.6637,79.0,top
CONN1,151.5851,-53.4721,11.0,top
CONN1_2,152.1112,-180.4374,169.0,top
D1,88.1324,-99.1316,191.0,top
D10,82.2426,-100.2765,191.0,top
D10_2,82.2426,-133.7354,169.0,top
D11,101.2476,-103.7133,191.0,top
D11_2,101.2476,-130.2985,169.0,top
D12,83.5783,-107.1479,191.0,top
D12_2,83.5783,-126.864,169.0,top
D13,105.8017,-95.6971,191.0,top
D13_2,105.8017,-138.3148,169.0,top
D14,107.1373,-102.5685,191.0,top
D14_2,107.1373,-131.4434,169.0,top
D1_2,88.1324,-134.8802,169.0,top
D2,70.4631,-102.5662,191.0,top
D2_2,70.4631,-131.4457,169.0,top
D3,89.468,-106.003,191.0,top
D3_2,89.468,-128.0088,169.0,top
D4,71.7988,-109.4376,191.0,top
D4_2,71.7987,-124.5743,169.0,top
D5,94.0221,-97.9868,191.0,top
D5_2,94.0221,-136.0251,169.0,top
D6,76.3529,-101.4214,191.0,top
D6_2,76.3529,-132.5905,169.0,top
D7,95.3578,-104.8582,191.0,top
D7_2,95.3578,-129.1537,169.0,top
D8,77.6885,-108.2927,191.0,top
D8_2,77.6885,-125.7191,169.0,top
D9,99.9119,-96.8419,191.0,top
D9_2,99.9119,-137.1699,169.0,top
L1,165.6838,-75.1541,101.0,top
L1_2,166.3628,-154.4743,79.0,top
LED1,35.6269,-100.3211,15.0,top
LED10,104.9177,-59.7045,11.0,top
LED10_2,104.9177,-174.3074,169.0,top
LED11,101.2923,-41.0536,11.0,top
LED11_2,101.2923,-192.9583,169.0,top
LED12,97.667,-22.4026,11.0,top
LED12_2,97.667,-211.6092,169.0,top
LED13,53.763,-94.4267,194.0,top
LED13_2,120.2123,-137.5504,169.0,top
LED14,49.1664,-75.991,194.0,top
LED14_2,141.021,-138.707,184.0,top
LED15,44.5699,-57.5554,194.0,top
LED15_2,161.4199,-134.4384,199.0,top
LED16,39.9734,-39.1198,194.0,top
LED16_2,53.763,-139.5852,346.0,top
LED17,89.3197,-79.0359,191.0,top
LED17_2,49.1664,-158.0208,346.0,top
LED18,85.6944,-60.385,191.0,top
LED18_2,44.5699,-176.4564,346.0,top
LED19,82.069,-41.734,191.0,top
LED19_2,39.9734,-194.8921,346.0,top
LED1_2,35.6269,-133.6908,165.0,top
LED2,30.7094,-81.9685,15.0,top
LED20,78.4436,-23.0831,191.0,top
LED20_2,89.3197,-154.976,349.0,top
LED21,127.3848,-75.7116,191.0,top
LED21_2,85.6944,-173.6269,349.0,top
LED22,123.7594,-57.0607,191.0,top
LED22_2,82.069,-192.2778,349.0,top
LED23,120.1341,-38.4098,191.0,top
LED23_2,78.4436,-210.9287,349.0,top
LED24,116.5087,-19.7589,191.0,top
LED24_2,127.3848,-158.3002,349.0,top
LED25,120.2123,-96.4615,191.0,top
LED25_2,123.7594,-176.9511,349.0,top
LED26,141.021,-95.3049,176.0,top
LED26_2,120.1341,-195.6021,349.0,top
LED27,161.4199,-99.5734,161.0,top
LED27_2,116.5087,-214.253,349.0,top
LED2_2,30.7094,-152.0434,165.0,top
LED3,25.7918,-63.6159,15.0,top
LED3_2,25.7918,-170.396,165.0,top
LED4,20.8743,-45.2633,15.0,top
LED4_2,20.8743,-188.7486,165.0,top
LED5,71.3159,-85.9293,12.0,top
LED5_2,71.3159,-148.0825,168.0,top
LED6,67.3656,-67.3445,12.0,top
LED6_2,67.3656,-166.6673,168.0,top
LED7,63.4153,-48.7597,12.0,top
LED7_2,63.4153,-185.2521,168.0,top
LED8,59.4649,-30.1749,12.0,top
LED8_2,59.4649,-203.8369,168.0,top
LED9,108.5431,-78.3554,11.0,top
LED9_2,108.5431,-155.6565,169.0,top
PWR1,171.0313,-77.9457,101.0,top
PWR1_2,171.0855,-156.3449,79.0,top
R1,162.2124,-78.7831,191.0,top
R1_2,161.7848,-156.5387,169.0,top
R2,160.1424,-79.962,281.0,top
R2_2,159.1305,-158.3302,259.0,top
RE1,149.7336,-70.7142,356.0,top
RE1_2,148.2153,-163.1915,184.0,top
RESW1,148.8765,-83.3578,356.0,top
RESW1_2,150.8237,-150.7902,184.0,top
RST1,130.3745,-12.4794,93.0,top
RST1_2,130.3745,-221.5324,267.0,top
S1,36.274,-102.7359,15.0,top
S10,67.8854,-69.7899,12.0,top
S10_2,67.8854,-164.222,168.0,top
S11,63.935,-51.2051,12.0,top
S11_2,63.935,-182.8068,168.0,top
S12,59.9847,-32.6203,12.0,top
S12_2,59.9847,-201.3916,168.0,top
S13,89.7968,-81.4899,11.0,top
S13_2,89.7968,-152.5219,169.0,top
S14,86.1714,-62.839,11.0,top
S14_2,86.1714,-171.1728,169.0,top
S15,82.546,-44.1881,11.0,top
S15_2,82.546,-189.8238,169.0,top
S16,78.9206,-25.5372,11.0,top
S16_2,78.9206,-208.4747,169.0,top
S17,109.0201,-80.8095,11.0,top
S17_2,109.0201,-153.2024,169.0,top
S18,105.3947,-62.1585,11.0,top
S18_2,105.3947,-171.8533,169.0,top
S19,101.7694,-43.5076,11.0,top
S19_2,101.7694,-190.5042,169.0,top
S1_2,36.274,-131.276,165.0,top
S2,31.3564,-84.3833,15.0,top
S20,98.144,-24.8567,11.0,top
S20_2,98.144,-209.1552,169.0,top
S21,127.8618,-78.1657,11.0,top
S21_2,127.8618,-155.8462,169.0,top
S22,124.2365,-59.5148,11.0,top
S22_2,124.2365,-174.4971,169.0,top
S23,120.6111,-40.8639,11.0,top
S23_2,120.6111,-193.148,169.0,top
S24,116.9857,-22.213,11.0,top
S24_2,116.9857,-211.7989,169.0,top
S25,120.6893,-98.9155,11.0,top
S25_2,120.6893,-135.0963,169.0,top
S26,140.8466,-97.7988,356.0,top
S26_2,140.8466,-136.213,184.0,top
S27,160.606,-101.9372,341.0,top
S27_2,160.606,-132.0746,199.0,top
S2_2,31.3564,-149.6286,165.0,top
S3,26.4389,-66.0307,15.0,top
S3_2,26.4389,-167.9812,165.0,top
S4,21.5213,-47.6781,15.0,top
S4_2,21.5213,-186.3337,165.0,top
S5,54.3678,-96.8524,14.0,top
S5_2,54.3678,-137.1595,166.0,top
S6,49.7712,-78.4168,14.0,top
S6_2,49.7712,-155.5951,166.0,top
S7,45.1747,-59.9812,14.0,top
S7_2,45.1747,-174.0307,166.0,top
S8,40.5782,-41.5455,14.0,top
S8_2,40.5782,-192.4663,166.0,top
S9,71.8357,-88.3747,12.0,top
S9_2,71.8357,-145.6372,168.0,top
U1,161.7288,-76.0069,281.0,top
U1_2,162.3764,-153.7835,259.0,top
U2,165.662,-79.6279,101.0,top
U2_2,164.6667,-158.6142,79.0,top
